#,Topic,Question,Option A,Option B,Option C,Option D,Answer,Explanation,Difficulty
117,Community,A prior drilling complaint most directly threatens:,Concrete strength,Work-hour flexibility and public relations,Bridge span count,Asphalt gradation,B,Foundation report documents complaints affecting drilling progression; anticipate community constraints.,Medium
118,Risk,Very low RQD (0–12%) most directly implies:,Massive intact rock,Highly fractured rock and variable drilling behavior,No groundwater,Uniform soils,B,Low RQD indicates poor rock quality—fractured and variable.,Hard
119,Planning,Why is it useful that Pier 2 is only ~30 ft from Abutment 1?,It changes the route number,Boring info near the abutment is relevant for adjacent pier conditions,It eliminates surveys,It guarantees bedrock,B,Close spacing means the local profile influences both units.,Medium
120,Schedule,"With 300 working days, the best superintendent-level habit is:",Track only monthly progress,Control weekly production and constraints tightly,Ignore critical path,Delay procurement until late,B,Tight time requires consistent production tracking and constraint removal.,Medium
121,UHPC Submittals,Before UHPC mock-up starts you must submit the UHPC materials order showing:,Only delivery tickets,Manufacturer type and quantity ordered,Only unit price,Only SDS,B,Specs require copy of UHPC materials order with manufacturer type and quantity sufficient for mock-up testing production and waste.,Medium
122,UHPC Work Plan,UHPC work plan must cover storage mixing delivery placement curing and:,Finishing,Traffic striping,Guardrail install,Pile drilling,A,Specs require a UHPC work plan for storage mixing delivery placement curing and finishing.,Easy
123,UHPC Work Plan,UHPC work plan must include methods to prevent what during placement and curing?,Concrete discoloration,Vibration and loading of UHPC,Rebar congestion,Traffic delays,B,Specs require methods for prevention of vibration and loading of UHPC during placement and curing.,Hard
124,UHPC Work Plan,UHPC work plan must include methods to prevent what during cure between adjacent girders?,Leakage at vents,Relative displacement along the joint,Concrete cracking in deck,Surface scaling,B,Specs require methods to prevent relative displacement along the joint between adjacent girders during UHPC cure.,Hard
125,UHPC Authorization,Who authorizes the UHPC work plan for production work?,Contractor superintendent,UHPC supplier,Engineer after successful mock-up,Resident engineer assistant,C,Engineer authorizes UHPC work plan after successful completion of mock-up.,Medium
126,UHPC Document Control,After authorization what must be kept at the jobsite?,Draft work plan only,Authorized UHPC work plan,Only mix proportions,Only batch tickets,B,Specs require maintaining a copy of the authorized UHPC work plan at the jobsite.,Easy
127,UHPC Batching Records,Batching records must include mixer identification or serial number and:,Pile tip elevation,Date and time of batch,Guardrail length,Traffic counts,B,Specs list batching record requirements including date and time and mixer identification.,Medium
128,UHPC Batching Records,Batching records must include the time of:,Rebar placement,Water addition,Form stripping,Saw cutting,B,Specs require time of water addition in batching records.,Medium
129,UHPC Batching Records,Batching records must include amount of water and ice added:,Before initial mixing only,After initial mixing,Not required,Only on hot days,B,Specs require amount of water and ice added after initial mixing.,Hard
130,UHPC Batching Records,Batching records must include total mixing time and:,Concrete slump,Time of discharge,Rebar heat number,Truck axle weights,B,Specs require total mixing time and time of discharge.,Medium
131,UHPC Batching Records,Batching records must include ambient temperature and:,Concrete color number,Batch temperature at initial discharge,Wind speed only,Humidity only,B,Specs require ambient temperature and batch temperature at initial discharge.,Medium
132,UHPC Batching Records,Batching records must include result of which fresh property test?,Air meter only,Flow test,Rebound hammer,Penetration only,B,Specs require result of flow test in batching records.,Medium
133,UHPC Strength-Maturity,Strength-maturity validation report readings must be taken at maximum intervals of:,5 minutes,15 minutes,30 minutes,60 minutes,B,Specs require readings at a maximum of 15-minute intervals.,Hard
134,UHPC Strength-Maturity,Which method is NOT allowed to determine maturity index?,Instrument that displays maturity index directly,Temperature logger used to calculate maturity index,Calibrated maturity instrument,Maturity instrument per manufacturer,B,Specs prohibit using temperature loggers to calculate maturity index.,Hard
135,UHPC Prequalification,Before placing UHPC you must prequalify:,Only water source,Materials mix proportions mixing equipment and procedures,Only cement source,Only fibers,B,Specs require prequalification of UHPC materials mix proportions mixing equipment and procedures.,Hard
136,UHPC Mock-up Purpose,UHPC mock-up must demonstrate UHPC flows for the distance required by:,Traffic handling plan,Proposed construction procedure,Survey control,Bridge rail details,B,Specs require mock-up demonstrate flow distance required by proposed construction procedure.,Hard
137,UHPC Mock-up Purpose,UHPC mock-up must demonstrate UHPC completely fills forms and spaces and:,Does not leak during placement,Has low slump,Has high air content,Sets in 30 minutes,A,Specs require mock-up demonstrate complete filling and no leakage during placement.,Hard
138,UHPC Mock-up Purpose,UHPC mock-up must demonstrate reinforcement and embedments are:,Removed after pour,Fully encapsulated,Partially exposed,Coated with epoxy,B,Specs require full encapsulation of reinforcement and embedment.,Hard
139,UHPC Mock-up Purpose,UHPC mock-up must demonstrate steel fibers are:,Excluded at joints,Uniformly distributed,Placed only at top,Placed only at bottom,B,Specs require uniform fiber distribution with no segregation.,Hard
140,UHPC Mock-up Hold Point,Minimum required PC/UHPC mock-ups is:,1,2,3,4,B,Specs require constructing at least 2 PC/UHPC mock-ups.,Medium
141,UHPC Personnel,UHPC for mock-ups must use the same personnel materials equipment mix design and methods as:,Any previous project,Production work,Design assumptions,Inspector preference,B,Specs require mock-up replicate production conditions including personnel and methods.,Hard
142,UHPC Joint Sealing,Before pre-wetting forms or leak tests you must seal keyways joints forms and casings with:,Curing compound,Joint sealant per authorized work plan,Silicone caulk not approved,Grout after placement,B,Specs require sealing with joint sealant before pre-wetting or leak tests.,Hard
143,UHPC Pre-wetting,Pre-wet UHPC receiving surface for a minimum of:,30 minutes,1 hour,2 hours,4 hours,C,Specs require minimum 2 hours pre-wetting to reach saturated surface-dry condition.,Medium
144,UHPC Forms,UHPC work plan must include securing what between modules for pouring UHPC?,Open bottom joint,Watertight bottom temporary form,Geotextile only,No form needed,B,Specs require a watertight bottom temporary form between modules.,Hard
145,UHPC Forming,UHPC work plan must include forming with vents and seals to prevent:,Hydration,Leakage,Fiber clumping,Overstrength,B,Specs require forming including vents and seals for leak prevention.,Hard
146,UHPC Forming,Top forms must be non-absorbent and secured to resist:,Wind loads,Hydrostatic pressure,Traffic impact,Seismic loads,B,Specs require top forms resist hydrostatic pressure.,Hard
147,UHPC Placement,UHPC work plan must include providing and maintaining:,Traffic headway,Hydrostatic head during placement,Minimum slump,Minimum air content,B,Specs require maintaining hydrostatic head during placement.,Hard
148,UHPC Placement,UHPC work plan requires overfilling UHPC spaces by approximately:,1/8 inch,3/8 inch,3/4 inch,1 inch,B,Specs require overfilling by about 3/8 inch.,Hard
149,UHPC Placement Interruption,UHPC work plan must include method for intermixing separate pours if:,Wind exceeds limits,Flow is interrupted,Traffic is stopped,Inspector leaves,B,Specs require methods to intermix separate pours if flow is interrupted.,Hard
150,UHPC Curing,UHPC work plan must include maintaining external curing temperature until:,28-day strength is achieved,18-hour strength is achieved by cylinder breaks,56-day strength is achieved,Concrete is cool to touch,B,Specs require maintaining curing temperature until 18-hour strength is obtained as evidenced by cylinder breaks.,Hard
151,UHPC Manufacturer Rep,For each mixing and placing of UHPC who must be present?,Engineer only,UHPC manufacturer representative,Traffic control lead,Survey chief,B,Specs require UHPC manufacturer representative present for each mixing and placing.,Hard
152,UHPC Preconstruction Meeting,UHPC preconstruction meeting must be held after authorization of mock-up work plan and at least:,1 day before mock-up,3 days before mock-up,5 days before mock-up,10 days before mock-up,C,Specs require mandatory UHPC preconstruction meeting at least 5 days before starting mock-up work.,Hard
153,UHPC Meeting Attendees,UHPC preconstruction meeting attendees must include Engineer and:,Only contractor superintendent,UHPC manufacturer rep and field QC plus sampling and testing personnel,Only concrete supplier,Only crane operator,B,Specs list required attendees including UHPC manufacturer rep and field QC/testing personnel.,Medium
154,UHPC QC Topic,UHPC preconstruction meeting discussion should include QC sampling and testing including:,No cylinder prep,End grinding of cylinders,Only visual checks,Only slump tests,B,Specs require discussion including end grinding of cylinders.,Hard
155,UHPC Mock-up Sensors,For UHPC mock-up temperature sensors must be placed:,Only at midspan,At each end and about 5-foot centers,Only at one end,Only where contractor chooses,B,Specs require sensors at each end and about 5-foot centers with exact locations directed by Engineer.,Hard
156,UHPC Mock-up Strength Validation,During UHPC mock-up cylinders must validate strengths at 12 hr 14 hr 18 hr and:,28 days,56 days,90 days,7 days,B,Specs require validation including 56-day strength.,Hard
157,UHPC Mock-up Cuts,After UHPC mock-up attains 12 ksi you must cut each mock-up at:,1 location,2 locations,3 locations,No cuts required,C,Specs require cutting at 3 locations to validate mixing encapsulation fiber distribution no cold joints and filling.,Hard
158,UHPC Mock-up Cut Review,After mock-up cuts allow Engineer how long for review?,1 business day,3 business days,5 business days,10 business days,C,Specs require allowing 5 business days for review.,Medium
159,UHPC Rejection Response,If Engineer rejects a mock-up you must submit revised mock-up and UHPC work plans and allow review of:,3 days,5 days,7 days,14 days,C,Specs require allowing 7 days for review of revised work plans.,Hard
160,UHPC Acceptance Basis,Department acceptance of UHPC includes sampling testing and inspections performed by:,Contractor only,Department to verify compliance,Supplier only,Third-party only,B,Specs define Department acceptance includes Department sampling testing and inspections.,Medium
161,UHPC Acceptance Flow,UHPC acceptance flow requirement is ASTM C1856 with range:,4-6 inches,6-8 inches,7-10 inches,10-12 inches,C,Acceptance table lists flow 7-10 inches under ASTM C1856.,Hard
162,UHPC Acceptance Strength,UHPC acceptance requires compressive strength of 12 ksi at 18 hours and:,18 ksi at 28 days,20 ksi at 56 days,20 ksi at 28 days,12 ksi at 12 hours,B,Acceptance table includes 20 ksi at 56 days.,Hard
163,UHPC Lot Definition,A UHPC compressive test represents no more than:,10 cubic yards,25 cubic yards,50 cubic yards,100 cubic yards,B,Specs state a compressive test represents no more than 25 cu yd and is average of 5 cylinders from one load.,Hard
164,UHPC Cylinder Prep,UHPC compressive test cylinders must be prepared using:,Capping compound only,Automatic cylinder end grinding machine,Hand grinding only,No end preparation,B,Specs require automatic concrete cylinder end grinding.,Hard
165,UHPC Testing Lab,UHPC compressive strength testing must be performed at:,Any local lab,AASHTO-accredited lab capable of end grinding,Field lab only,Manufacturer lab only,B,Specs require AASHTO-accredited laboratory capable of end grinding.,Hard
166,UHPC Materials Control,UHPC used for mock-up and production must be from same manufacturer and same:,Truck number,Lot or batch number,Mixer serial number,Water source,B,Specs require same manufacturer and same lot or batch number.,Hard
167,UHPC Shelf Life,UHPC manufacture date must be no more than how long before production placement?,6 months,12 months,18 months,24 months,C,Specs require manufacture date no more than 18 months before UHPC is placed in production.,Hard
168,UHPC Surface Roughness,PC surfaces in contact with UHPC must have exposed aggregate finish minimum amplitude of:,1/16 inch,1/8 inch,1/4 inch,1/2 inch,B,Specs require minimum amplitude 1/8 inch with average 1/4 inch.,Hard
169,UHPC Surface Roughness,PC surfaces in contact with UHPC must have exposed aggregate finish average amplitude of:,1/16 inch,1/8 inch,1/4 inch,1/2 inch,C,Specs require average amplitude 1/4 inch.,Hard
170,UHPC Preassembly,Before shipping precast members you must preassemble to verify geometry and field connections and:,Pour UHPC at plant,Assemble PC elements in the order shown,Install bridge rail,Install approach pavement,B,Specs require assembling PC elements in the order shown during preassembly.,Hard
171,UHPC Preassembly Notice,Notify Engineer at least how many days before preassembly?,1 day,3 days,5 days,10 days,C,Specs require notifying Engineer at least 5 days before preassembly and performing in Engineer presence.,Medium
172,UHPC Preassembly Presence,Preassembly must be performed in the presence of:,Concrete supplier,Engineer,UHPC rep only,Survey chief,B,Specs require preassembly in the presence of the Engineer.,Medium
173,UHPC Preassembly Shipping,After preassembly you must:,Ship assembled units,Disassemble before shipping,Leave at plant,Pour UHPC on the ground,B,Specs require disassembling precast members before shipping to job site.,Medium
174,UHPC Form Retarder,Apply what to PC surfaces to be in contact with UHPC?,Epoxy coating,Form retarder per manufacturer instructions,Curing compound,Bituminous membrane,B,Specs require applying form retarder to PC concrete surfaces to be in contact with UHPC under manufacturer instructions.,Medium
175,UHPC Joint Material,Concrete for connecting joints between PC/PS concrete box girders must be:,Standard structural concrete,RSC,UHPC,Epoxy grout,C,Specs require connecting joints constructed using UHPC.,Hard
176,UHPC Plans Load Limit,Plans state construction equipment loads are not allowed until UHPC joint strength reaches:,6 ksi,10 ksi,12 ksi,14 ksi,C,Plans note construction equipment loads not allowed until UHPC joints reach 12 ksi.,Hard
177,UHPC Plans Load Limit,Plans state full traffic loads are not allowed until UHPC joint strength reaches:,12 ksi,14 ksi,18 ksi,20 ksi,B,Plans note full traffic loads not allowed until UHPC joints reach 14 ksi.,Hard
178,UHPC Plans Grinding,Plans state UHPC may be ground flush after UHPC reaches:,12 ksi,14 ksi,18 ksi,20 ksi,B,Plans note grinding flush after UHPC has reached 14 ksi.,Medium
179,UHPC Plans Rebar,Plans note UHPC joint reinforcement #5 must be:,Black bar,Galvanized in entirety,Epoxy coated only,Stainless only,B,Plans require #5 UHPC joint reinforcement galvanized in entirety whether spliced or unspliced.,Medium
180,RSC Requirement,Concrete for abutments and bent caps must be constructed using:,Standard structural concrete,RSC,UHPC,Shotcrete,B,Specs state abutments and bent caps must be constructed using RSC.,Hard
181,Mass Concrete,Portions required to be constructed as mass concrete are:,Deck only,Bent caps and abutments,Footings only,Barriers only,B,Specs table identifies bent caps and abutments as mass concrete under section 51-6.,Hard
182,RSC Work Plan Timing,Submit an RSC work placement plan at least how many days before use?,3 days,5 days,10 days,15 days,C,Specs require submitting RSC work placement plan at least 10 days before use.,Hard
183,RSC Work Plan Content,RSC work placement plan must include methods and procedures for storing handling transporting and:,Traffic staging,Staging materials at job site,Installing rail,Driving piles,B,Specs require staging materials at the job site and include mixing QC and placing finishing curing.,Medium
184,RSC Work Plan Content,RSC work placement plan must include methods and procedures for QC sampling and testing and:,Striping,Placing finishing and curing,Bridge demolition,Electrical work,B,Specs require plan include QC sampling and testing and placing finishing and curing.,Medium
185,RSC Contingency Plan,Submit a contingency plan for correcting problems during transportation production placement or:,Finishing,Steel erection,Surveying,Traffic striping,A,Specs require a contingency plan for correcting problems during transportation production placement or finishing of RSC.,Hard
186,RSC Mock-up Plan Timing,Submit an RSC work placement plan for mock-up construction at least:,3 days before,5 days before,10 days before,15 days before,C,Specs require RSC mock-up work placement plan at least 10 days before constructing mock-up.,Hard
187,RSC Mock-up Submittal,After mock-up you must submit:,Air content only,Compressive strength test results,No results required,Rebound hammer results only,B,Specs require submitting compressive strength test results from the mock-up.,Medium
188,RSC QC Manager Certification,RSC QC manager must hold current ACI certifications:,"Concrete Field Testing Grade I only","Concrete Laboratory Testing Grade II only","Both Field Testing Grade I and Lab Testing Grade II","None required",C,Specs require QC manager holds ACI Concrete Field Testing Technician Grade I and Concrete Laboratory Testing Technician Grade II.,Hard
189,RSC QC Manager Duties,QC manager must review and sign sampling inspection and test reports before:,Placement,Submitting them,Ordering materials,Stripping forms,B,Specs require QC manager review and sign reports before submitting.,Medium
190,RSC QC Manager Presence,QC manager must be present for establishing volumetric mixer control settings and:,Traffic meetings,Mock-up construction and meetings with Engineer,Survey staking,Welding inspection,B,Specs list QC manager presence requirements including mock-up construction and meetings related to production placement or testing.,Hard
191,RSC QC Manager Independence,QC manager must not be a member of production or paving crews and must not be an inspector or:,Tester,Superintendent,Foreman,Safety officer,A,Specs prohibit QC manager being production crew inspector or tester.,Hard
192,RSC QC Duty Limits,During production and placement of RSC QC manager must have no duties except those:,Assigned by foreman,Specified in the QC requirements,Traffic control related,Survey related,B,Specs state QC manager must have no duties during production and placement of RSC except those specified.,Hard
193,RSC Preconstruction Meeting Timing,Schedule and hold a preconstruction meeting at least how many business days before RSC work?,2,3,5,10,C,Specs require preconstruction meeting at least 5 business days before RSC work.,Hard
194,RSC Preconstruction Meeting Facility,For the RSC preconstruction meeting who provides the meeting facility?,Engineer,Contractor,City,Manufacturer,B,Specs require contractor provide meeting facility.,Easy
195,RSC Preconstruction Meeting Attendees,The RSC meeting must include the Engineer and your reps and any subcontractors involved in:,UHPC work,RSC work,Piling only,Traffic control only,B,Specs require meeting include subcontractors involved in RSC work.,Medium
196,RSC Meeting Agenda,RSC preconstruction meeting discussion should include storing and staging materials QC sampling and testing mixing placing finishing curing and:,Striping plan,Contingency plan,Paint plan,Detour map,B,Specs list agenda includes contingency plan.,Medium
197,RSC Mock-up Requirement,Construct a mock-up for each type of bridge element to be constructed with:,UHPC,RSC,Asphalt,Steel,B,Specs require mock-up for each type of bridge element to be constructed with RSC.,Hard
198,RSC Mock-up Size,For abutments and bent caps the RSC mock-up must be a rectangular block:,3 ft by 3 ft by 3 ft,6 ft by 4.67 ft by 42 ft,10 ft by 6 ft by 10 ft,Any size approved later,B,Specs define abutment and bent cap mock-up block size 6 x 4.67 x 42 ft.,Hard
199,RSC Mock-up Replication,RSC mock-up must be constructed using personnel materials tools equipment and methods to be used in:,Any project,RSC work,Steel erection,Traffic control,B,Specs require mock-up use same resources and methods as production RSC work.,Hard
200,RSC Mock-up Forms,RSC mock-up forms must be similar to forms used for production element and include RSC reinforcement and:,Concrete embedments shown,Asphalt,Steel plates only,No embedments,A,Specs require including reinforcement and concrete embedments shown.,Hard
201,RSC Mock-up Purpose,RSC mock-up must demonstrate you can construct a bridge element within anticipated time periods including delivery placement finishing curing and in:,Better weather only,Similar atmospheric conditions expected during construction,Night shift only,Winter only,B,Specs require similar atmospheric conditions expected during construction.,Hard
202,RSC Mass Concrete Proof,RSC mock-up must demonstrate thermal control plan temperature data daily daily progress report and max allowable temperature differential comply with:,Section 12,Section 19,Section 51-6.01C,Section 83,C,Specs require mock-up demonstrate mass concrete controls comply with section 51-6.01C.,Hard
203,RSC Mock-up Placement,RSC in the mock-up must be placed in the presence of the:,Batch plant manager,Engineer,City inspector,UHPC rep,B,Specs require placing RSC in mock-up in the Engineers presence.,Medium
204,RSC Mock-up Testing,RSC compressive strength testing must be performed and cylinders prepared under:,ASTM C39 only,California Test 540 Method 2,ASTM C805,No cylinder testing,B,Specs require cylinders prepared under California Test 540 Method 2 for RSC mock-up testing.,Hard
205,RSC Mock-up Minimum Strength,RSC for mock-up must develop minimum compressive strength of 3000 psi at:,12 hours,18 hours,24 hours,56 days,C,Specs list minimum 3000 psi at 24 hours.,Hard
206,RSC Mock-up Minimum Strength,RSC for mock-up must develop minimum compressive strength of 4000 psi at:,24 hours,Age of break,7 days,56 days,B,Specs list minimum 4000 psi at age of break and 4000 psi at 28 days.,Hard
207,RSC Mock-up Minimum Strength,RSC for mock-up must develop minimum compressive strength of 4000 psi at:,3 days,7 days,28 days,56 days,C,Specs list minimum 4000 psi at 28 days.,Hard
208,RSC Mock-up Sawcut,For RSC mock-up you must saw cut the mock-up:,Not allowed,Full-depth as directed,Only partial depth at corners,Only after 56 days,B,Specs require saw cutting the mock-up full-depth as directed.,Hard
209,RSC Rejection Response,If Engineer rejects RSC mock-up you must:,Start RSC work anyway,Construct additional mock-ups until authorized,Only submit a letter,Change mix without notice,B,Specs require additional mock-ups until authorized and mock-up must be authorized before starting RSC work.,Hard
210,RSC Disposal,Dispose of the RSC mock-up:,Immediately after pour,After authorization by Engineer,After 24 hours only,After traffic opening,B,Specs state dispose of the mock-up after it is authorized and directed.,Medium
211,RSC Prequal Option,RSC used for constructing the mock-up may be used to concurrently:,Avoid mass concrete controls,Prequalify the RSC mix design,Replace UHPC,Skip QC manager,B,Specs state RSC for mock-up may be used to concurrently prequalify the RSC mix design.,Hard
212,RSC Specified Strength,RSC used to construct abutments and bent caps must have minimum specified compressive strength of 4000 psi at:,24 hours,28 days,Age of break,56 days,C,Specs add requirement for abutments and bent caps: 4000 psi minimum at age of break.,Hard
213,UHPC Fresh Testing,Furnish a flow mold for testing UHPC under:,ASTM C1856,ASTM C39,ASTM C666,ASTM C805,A,Specs require furnishing a flow mold for testing UHPC under ASTM C1856.,Medium
214,UHPC Cylinders,Provide cylinder molds for UHPC compressive strength testing that are:,2-inch diameter,3-inch diameter,4-inch diameter,6-inch diameter,B,Specs require 3-inch diameter cylinder molds for UHPC compressive strength testing.,Medium
215,UHPC Field Testing Role,Who performs flow testing and prepares UHPC cylinders for testing?,Contractor QC tech,Engineer,UHPC manufacturer representative,Batch plant driver,C,Specs state UHPC manufacturers representative performs flow testing and prepares cylinders.,Hard
216,UHPC Mock-up Hold Point,Before starting mock-up work you must obtain authorization of QC plans for PC members and:,UHPC mock-up work plan,Traffic detour plan,Pile plan,Bridge rail plan,A,Specs require authorization of QC plans for PC members and UHPC mock-up work plan before starting mock-up work.,Hard
217,UHPC Notification,Notify the Engineer at least how many business days before starting assembly of UHPC mock-ups?,1,2,3,5,C,Specs require notifying Engineer at least 3 business days before starting assembly of mock-ups.,Medium
218,UHPC Material Properties,UHPC definition includes water-to-cementitious ratio less than 0.25 and high percentage of:,Coarse aggregate,Discontinuous internal fiber reinforcement,Air voids,Epoxy resin,B,Specs define UHPC as cementitious composite with w/cm less than 0.25 and high percentage of discontinuous internal fiber reinforcement.,Hard
219,UHPC Acceptance Timing,Department uses strength-maturity results from mock-up to determine compressive strength of UHPC placed in the field by using:,Rebound hammer only,Maturity index relationship,Visual inspection only,Air content only,B,Specs require using strength-maturity relationship verified during mock-up to determine field UHPC strength via maturity index.,Hard
220,Mass Concrete Focus,Why is RSC mock-up thermal control plan validation critical for bent caps and abutments?,These elements are small,These elements are mass concrete and require temperature differential control,Only for aesthetics,Only for traffic control,B,Specs designate bent caps and abutments as mass concrete and require compliance with thermal control plan and maximum temperature differential requirements.,Hard
